DATA,CO_ID,CL_ID,CL_GENERO,CL_EC,CL_FHL,CL_SEG,PR_ID,PR_CAT,PR_NOME
2019-02-01,1000,534,M,4,1,C,67,BEBIDAS,REFRIGERANTE GUARANA
2019-02-01,1040,279,M,1,2,B,38,ALIMENTOS,LEITE CONDENSADO
2019-02-01,1078,290,F,1,0,B,145,PET,RACAO UMIDA PARA GATOS
2019-02-01,1082,323,M,1,3,B,69,BEBIDAS,REFRIGERANTE LIMaO
2019-02-01,1103,957,M,2,3,B,15,ALIMENTOS,BATATA DOCE
2019-02-01,1121,49,M,2,0,C,123,LIMPEZA,TIRA MANCHA
2019-02-01,1188,906,M,2,0,A,96,LIMPEZA,BALDE
2019-02-01,1200,653,M,2,0,C,54,ALIMENTOS,PRESUNTO COZIDO
2019-02-01,1240,842,M,5,2,B,166,HIGIENE,MODELADOR
2019-02-01,1293,616,F,1,2,C,43,ALIMENTOS,MAMAO PAPAYA
2019-02-01,1298,406,M,2,4,C,72,HIGIENE,CONDICIONADOR
2019-02-01,1375,576,M,3,0,B,168,ALIMENTOS,MAMAO PAPAYA
2019-02-01,1433,652,F,4,0,B,96,LIMPEZA,BALDE
2019-02-01,1482,453,F,1,0,B,7,ALIMENTOS,ALMONDEGA
2019-02-01,1568,829,F,3,4,B,106,LIMPEZA,ODORIZADOR
2019-02-01,1569,251,F,2,0,C,148,PET,RACAO SECA PARA CAES
2019-02-01,1637,397,F,1,0,B,100,LIMPEZA,DETERGENTE
2019-02-01,1683,438,F,1,0,B,63,ALIMENTOS,TOMATE
2019-02-01,1768,69,M,4,3,A,221,ALIMENTOS,BANANA
2019-02-01,1793,608,F,3,0,C,122,ALIMENTOS,TOMATE
2019-02-01,1850,423,F,5,2,A,167,ALIMENTOS,MANGA
2019-02-01,1874,53,M,1,1,B,9,ALIMENTOS,ARROZ INTEGRAL
2019-02-01,1943,886,F,5,1,B,35,ALIMENTOS,LATA DE ERVILHA
2019-02-01,1954,624,M,4,0,B,143,BEBIDAS,REFRIGERANTE GUARANA
2019-02-01,1985,94,M,1,2,C,220,ALIMENTOS,BATATA
